,HometownLatitude,HometownLongitude,UndergradLatitude,UndergradLongitude,RA_LM_Latitude,RA_LM_Longitude,Masters_Latitude,Masters_Longitude,PHD_Latitude,PHD_Longitude,PostDoc_Latitude,PostDoc_Longitude,Faculty_Latitude,Faculty_Longitude
0,43.5073034,16.4414229,41.8239891,-71.4128343,41.3082138,-72.9250518,,,40.4416941,-79.9900861,,,,
1,45.4384958,10.9924122,45.886548,11.0452369,,,45.886548,11.0452369,45.886548,11.0452369,42.9537654,-81.2291529,,
2,52.2385239,-0.902493,-34.4243941,150.89385,-37.8142176,144.9631608,,,-37.8142176,144.9631608,,,,
3,22.2793278,114.1628131,22.2793278,114.1628131,52.4775396,-1.894053,52.4775396,-1.894053,52.4775396,-1.894053,51.45149525,-0.983634249936538,,
4,41.8755616,-87.6244212,42.2681569,-83.7312291,39.9527237,-75.1635262,,,39.9527237,-75.1635262,,,,
5,37.6922361,-97.3375448,38.9719384,-95.2359496,,,38.8950092,-77.0365625,38.8950092,-77.0365625,41.3082138,-72.9250518,32.7762719,-96.7968559
6,-34.6075616,-58.437076,-34.6075616,-58.437076,-34.6075616,-58.437076,-34.6075616,-58.437076,50.1106444,8.6820917,,,,
7,58.014965,56.246723,55.7504461,37.6174943,55.6828925,37.6223775,51.469975,-0.0890817374933783,48.8566101,2.3514992,58.014965,56.246723,58.014965,56.246723
8,18.9387711,72.8353355,18.9387711,72.8353355,39.9527237,-75.1635262,35.2270869,-80.8431268,32.7174209,-117.1627714,34.0536909,-118.2427666,,
9,39.1014537,-84.5124602,37.4443293,-122.1598465,40.7127281,-74.0060152,52.2034823,0.1235817,40.3492744,-74.6592958,,,,
10,40.4167022,-86.8752869,40.4258686,-86.9080655,,,,,47.6038321,-122.3300624,39.9527237,-75.1635262,,
11,39.0840054,-77.1527573,32.527002,-85.4367484053398,,,25.7742658,-80.1936589,25.7742658,-80.1936589,,,,
12,25.0375198,121.5636796,25.0375198,121.5636796,25.0375198,121.5636796,53.9590555,-1.0815361,53.9590555,-1.0815361,53.9590555,-1.0815361,,
13,16.5087586,80.6185102,29.8693496,77.8902124,,,55.9521476,-3.1889908,53.550341,10.000654,,,,
14,40.6501038,-73.9495823,42.0128695,-73.9081901,40.7127281,-74.0060152,,,40.4416941,-79.9900861,41.3082138,-72.9250518,,
15,35.1799528,129.0752365,37.5666791,126.9782914,,,,,37.5666791,126.9782914,38.545379,-121.7445835,,
16,32.5010188,-116.9646629,32.5010188,-116.9646629,,,19.4326009,-99.1333416,,,,,,
17,31.2525238,34.7905787,,,,,32.0804808,34.7805274,51.5073219,-0.1276474,,,,
18,52.1518157,4.48110886662043,52.1518157,4.48110886662043,,,52.1518157,4.48110886662043,52.1518157,4.48110886662043,,,,
19,38.7604815,-92.5617875,36.1556805,-95.9929113,,,42.3602534,-71.0582912,42.3602534,-71.0582912,,,,
20,33.9137085,-98.4933873,33.5778631,-101.8551665,,,33.5778631,-101.8551665,34.4221319,-119.7026673,,,,
21,39.7837304,-100.4458825,34.0536909,-118.2427666,37.4443293,-122.1598465,,,43.703622,-72.288666,,,,
