Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
60,10/1/16 9:00,10/1/16 10:00,hometown 1,hometown 1,43.507303,16.441423,undergrad 1,undergrad 1,41.823989,-71.412834,1,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 2,hometown 2,45.438496,10.992412,undergrad 2,undergrad 2,45.886548,11.045237,2,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 3,hometown 3,52.238524,-0.902493,undergrad 3,undergrad 3,-34.424394,150.89385,3,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 4,hometown 4,22.279328,114.162813,undergrad 4,undergrad 4,22.279328,114.162813,4,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 5,hometown 5,41.875562,-87.624421,undergrad 5,undergrad 5,42.268157,-83.731229,5,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 6,hometown 6,37.692236,-97.337545,undergrad 6,undergrad 6,38.971938,-95.23595,6,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 7,hometown 7,-34.607562,-58.437076,undergrad 7,undergrad 7,-34.607562,-58.437076,7,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 8,hometown 8,58.014965,56.246723,undergrad 8,undergrad 8,55.750446,37.617494,8,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 9,hometown 9,18.938771,72.835335,undergrad 9,undergrad 9,18.938771,72.835335,9,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 10,hometown 10,39.101454,-84.51246,undergrad 10,undergrad 10,37.444329,-122.159847,10,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 11,hometown 11,40.416702,-86.875287,undergrad 11,undergrad 11,40.425869,-86.908066,11,Subscriber,,
60,10/1/16 9:00,10/1/16 10:00,hometown 12,hometown 12,39.084005,-77.152757,undergrad 12,undergrad 12,32.527002,-85.436748,12,Subscriber,,
