"Where were you born (city, state/region, country)?","Where did you do your undergraduate degree? (city, state/region, country).","Where did you work as a lab manager / research assistant? (city, state/region, country).","Where did you do your master's degree? (city, state/region, country).","Where did you do your doctoral degree? (city, state/region, country).","Where did you do your post-doc (city, state/region, country)?","Where are you a faculty member (city, state/region, country)?"
"Split, Croatia","Providence, RI, USA","New Haven, CT, USA",,"Pittsburgh, PA, USA",,
"Verona, Veneto, Italy","Rovereto, Trentino, Italy",,"Rovereto, Trentino, Italy","Rovereto, Trentino, Italy","London, Ontario, Canada",
"Northampton, United Kingdom","Wollongong, NSW, Australia","Melbourne, Victoria, Australia",,"Melbourne, Victoria, Australia",,
Hong Kong,Hong Kong,"Birmingham, UK","Birmingham, UK","Birmingham, UK","Reading, UK",
"Chicago, IL, USA","Ann Arbor, MI, USA","Philadelphia, PA, USA",,"Philadelphia, PA, USA",,
"Wichita, KS, United States","Lawrence, KS, United States",,"Washington, DC, United States","Washington, DC","New Haven, CT, United States","Dallas, TX, United States"
Perm/Russia,Moscow/Russia,"Nagatinskaya, Moscow",,Paris/France,"Perm, Russia","Perm, Russia"
"Mumbai, India","Mumbai, India","Philadelphia, USA","Charlotte, North Carolina","San Diego, CA, USA","Los Angeles, CA, USA",
"Rockville, MD, USA","Auburn, AL, USA",,"Miami, FL, USA","Miami, FL, USA",,
"Taipei, Taiwan","Taipei, Taiwan","Taipei, Taiwan","York, UK","York, UK","York, UK",
"Brooklyn, NY","Annandale-on-Hudson, NY, USA","New York, NY",,"Pittsburgh, PA","New Haven, CT",
"Busan, South Korea","Seoul, South Korea",,,"Seoul, South Korea","Davis, California, USA",
"Tijuana, Baja California, Mexico","Tijuana, Baja California, Mexico",,"Mexico city, Mexico",,,
"Be'er Sheva, Israel",-,,"Tel Aviv, Israel","London, United Kingdom",,
"Leiden, the Netherlands","Leiden, the Netherlands",,"Leiden, the Netherlands","Leiden, the Netherlands",,
"Missouri, USA","Tulsa, OK, USA",,"Boston, MA, USA","Boston, MA, USA",,
"Wichita Falls, Texas, USA","Lubbock, Texas, USA",,"Lubbock, Texas, USA","Santa Barbara, California, USA",,
"Hollywood, CA, USA","Orange, CA, USA","Portland, OR, USA","Portland, OR, USA","Austin, TX, USA",,
"Nairobi, Kenya","Ottawa, Canada",,,"St. Louis, MO, USA","Boulder, CO, USA","Austin, TX, USA"
"Novosibirsk, Russia","Novosibirsk, Russia",,"Rovereto, Italy","Rovereto, Italy","London, Ontario, Canada",
"Kansas City, Kansas, USA","New Orleans, LA, USA","Berkeley, CA, USA","New Orleans, LA, USA","Berkeley, CA, USA","Berkeley, CA, USA",
"Oakland, CA, USA","Saratoga Springs, NY, USA","San Francisco, CA, USA",,"Boston, MA USA","Seattle, WA ",
"New York, NY, USA","New York, NY, USA","Pittsburgh, PA, USA","Rochester, NY, USA","Rochester, NY, USA",,
"London, Ontario, Canada","Toronto, Ontario, Canada",,"Edinburgh, United Kingdom","London, Ontario, Canada","Toronto, Ontario, Canada",
"Jerusalem, Israel","Jerusalem, Israel","Berlin, Germany","Jerusalem, Israel","Berkeley, CA, USA","Stanford, CA, USA","Seattle, WA, USA"
"Glen Ridge, NJ, USA","Rochester, NY . USA",,"Cambridge, MA USA","Cambridge, MA USA","Boston, MA . USA","Worcester, MA USA"
"Teaneck, NJ","Boston, MA","Boston, MA ","San Francisco, CA",,,
"Rochester, NY, USA","Hanover, NH, USA","Boston, MA, USA",,"Boston, MA, USA",,
"Manchester, UK","Bristol, UK",,"Vancouver, BC, Canada ","Berkeley, CA, USA","Cambridge, UK","London, UK"
"Normandy, France","Rouen, Normandy, France",,"Rouen, Normandy, France","Paris, France","Austin, Texas, USA",
"Wolfsburg, Niedersachsen, Germany","Braunschweig, Niedersachsen, Germany ",,"Magdeburg, Sachsen-Anhalt, Germany","Juelich, Nordrhein-Westfalen, Germany ",,
"Apeldoorn, the Netherlands","Leiden, the Netherlands",,"London, UK","Leiden, the Netherlands","Leiden, the Netherlands",
"Los Angeles, California, USA","Pasadena, California, USA",,"Pasadena, California, USA","Berkeley, California, USA","Berkeley, California, USA","Austin, Texas, USA"
"Philadelphia, PA, USA","Middletown, CT, USA","New York, NY, USA","New Haven, CT, USA","New Haven, CT, USA",,
"Kolkata, West Bengal, India",Singapore,,,"Boston, MA, USA","Cambridge, MA, USA","Boston, MA, USA"
"Duelmen, North-Rhine Westphalia, Germany","Osnabrueck, Lower Saxony, Germany",,"Bonn, North-Rhine Westphalia, Germany","Bonn, North-Rhine Westphalia",,
Turkey,,,,"Ankara, Turkey",,
"Indiana, Pennsylvania, USA","Baltimore, Maryland, USA",,"Rovereto, Trentino/Alto-Adige, Italy","Hanover, New Hampshire, USA","Princeton, New Jersey, USA",
"New York City, New York, USA","Washington DC, DC, USA",,"Columbus, Ohio, USA","Columbus, Ohio, USA",,
"Champaign, IL, USA",,"Pittsburgh, PA, USA",,"Los Angeles, CA, USA",,
